Molecule_ChEMBL_ID,Smiles,Standard_Value,Unit
CHEMBL3354063,OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCc1cccc(-c2ccccc2)c1,200,nM
CHEMBL3349441,OC[C@@]1(O)C[C@H](NCc2cccs2)[C@H](O)[C@@H](O)[C@@H]1O,200,nM
CHEMBL3349435,OC[C@@]1(O)C[C@H](NCc2ccc(Br)cc2)[C@H](O)[C@@H](O)[C@@H]1O,230,nM
CHEMBL3349433,OC[C@@]1(O)C[C@H](NCC2CCCCC2)[C@H](O)[C@@H](O)[C@@H]1O,240,nM
CHEMBL5082173,COc1ccc(-c2oc3cc(OC)cc(OC)c3c(=O)c2OCCCCCCCCCCCN2C[C@H](O)[C@@H](O)[C@H](O)[C@H]2CO)cc1,240,nM
CHEMBL3354622,C[C@H](OCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO)c1ccc(-c2ccccc2)cc1,250,nM
CHEMBL3354624,OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCc1ccc(-c2ccccc2)cc1F,250,nM
CHEMBL3354025,OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCc1ccc(-c2ccccc2)cc1,250,nM
CHEMBL3349443,OC[C@@]1(O)C[C@H](NC/C=C/c2ccccc2)[C@H](O)[C@@H](O)[C@@H]1O,270,nM
CHEMBL4565442,Cc1ccc(C(c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4cc(Cl)c(Cl)cc4Cl)cc23)c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4cc(Cl)c(Cl)cc4Cl)cc23)cc1,300,nM
CHEMBL3349446,OC[C@@]1(O)C[C@H](NCc2cccnc2)[C@H](O)[C@@H](O)[C@@H]1O,330,nM
CHEMBL4586665,O=C(NNC(=S)Nc1ccccc1F)c1ccc(-c2nnc(-c3ccccc3Cl)o2)cc1,400,nM
CHEMBL4550413,O=C(NNC(=S)Nc1ccc(Cl)cc1)c1ccc(-c2nnc(-c3ccccc3Cl)o2)cc1,400,nM
CHEMBL4462975,Cc1cccc(NC(=S)NNC(=O)c2ccc(-c3nnc(-c4ccccc4Cl)o3)cc2)c1,400,nM
CHEMBL4466929,COc1cccc(NC(=S)NNC(=O)c2ccc(-c3nnc(-c4ccccc4Cl)o3)cc2)c1,400,nM
CHEMBL4547036,O=C(NNC(=S)Nc1ccc(Cl)c(Cl)c1)c1ccc(-c2nnc(-c3ccccc3Cl)o2)cc1,400,nM
CHEMBL4443246,Cc1ccc(NC(=S)NNC(=O)c2ccc(-c3nnc(-c4ccccc4Cl)o3)cc2)cc1,400,nM
CHEMBL4526013,COc1ccc(NC(=S)NNC(=O)c2ccc(-c3nnc(-c4ccccc4Cl)o3)cc2)cc1,400,nM
CHEMBL4464685,O=C(NNC(=S)Nc1ccc([N+](=O)[O-])cc1)c1ccc(-c2nnc(-c3ccccc3Cl)o2)cc1,400,nM
CHEMBL4543092,O=C(NNC(=S)Nc1ccccc1Br)c1ccc(-c2nnc(-c3ccccc3Cl)o2)cc1,400,nM
CHEMBL4553428,O=C(NNC(=S)Nc1cccc(F)c1)c1ccc(-c2nnc(-c3ccccc3Cl)o2)cc1,400,nM
CHEMBL4555448,O=C(NNC(=S)Nc1ccc(Br)cc1)c1ccc(-c2nnc(-c3ccccc3Cl)o2)cc1,400,nM
CHEMBL4554478,O=C(NNC(=S)Nc1cccc([N+](=O)[O-])c1)c1ccc(-c2nnc(-c3ccccc3Cl)o2)cc1,400,nM
CHEMBL4446128,COc1ccccc1NC(=S)NNC(=O)c1ccc(-c2nnc(-c3ccccc3Cl)o2)cc1,400,nM
CHEMBL4582866,O=C(NNC(=S)Nc1ccc(F)cc1)c1ccc(-c2nnc(-c3ccccc3Cl)o2)cc1,400,nM
CHEMBL3349434,OC[C@@]1(O)C[C@H](NC2CCCCC2)[C@H](O)[C@@H](O)[C@@H]1O,410,nM
CHEMBL3815109,CC(C)(C)CO[C@@H](CO)[C@H](O)C[S+]1C[C@@H](O)[C@H](O)[C@H]1CO.[Cl-],470,nM
CHEMBL4519690,Cc1ccc(C(c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4ccc([N+](=O)[O-])cc4[N+](=O)[O-])cc23)c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4ccc([N+](=O)[O-])cc4[N+](=O)[O-])cc23)cc1,500,nM
CHEMBL3354623,C[C@@H](OCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO)c1ccc(-c2ccccc2)cc1,500,nM
CHEMBL3349438,CC(C)=CCC/C(C)=C/CN[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O,520,nM
CHEMBL4593597,O=C1NC(=O)/C(=C/c2ccc(-c3nc4ccccc4n3Cc3ccc(Cl)cc3)cc2)S1,540,nM
CHEMBL85398,O=C1CSC(=O)N1,540,nM
CHEMBL4544064,O=C1NC(=O)/C(=C\c2ccc(-n3ncc4ccccc43)cc2)S1,550,nM
CHEMBL4456879,O=C1NC(=O)/C(=C\c2ccc(-n3cc([N+](=O)[O-])cn3)cc2)S1,550,nM
CHEMBL4590014,O=C1NC(=O)/C(=C\c2ccc(-n3ccc4c(Br)ccnc43)cc2)S1,550,nM
CHEMBL4541639,O=C1NC(=O)/C(=C\c2ccc(-n3ccc4c(Nc5ccccc5OC(F)(F)F)ccnc43)cc2)S1,550,nM
CHEMBL4472969,O=C1NC(=O)/C(=C\c2ccc(-n3cnc4ccccc43)cc2)S1,550,nM
CHEMBL4549286,O=C1NC(=O)/C(=C\c2ccc(-n3ccc4c(Nc5ccc(F)cc5)ccnc43)cc2)S1,550,nM
CHEMBL4521001,O=C(O)CN1C(=O)S/C(=C/c2ccc(-n3ccc4c(Br)ccnc43)cc2)C1=O,550,nM
CHEMBL4465310,Cc1nccn1-c1ccc(/C=C2/SC(=O)NC2=O)cc1,550,nM
CHEMBL4449655,CCOC(=O)CN1C(=O)S/C(=C/c2ccc(-n3ccc4c(Br)ccnc43)cc2)C1=O,550,nM
CHEMBL3349440,OCC(CO)N[C@H]1C[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,550,nM
CHEMBL4582990,O=C(NNC(=S)Nc1ccc(C(F)(F)F)cc1)c1ccc(-c2nnc(-c3ccccc3Cl)o2)cc1,600,nM
CHEMBL3814911,CCCCCCCO[C@@H](CO)[C@H](O)C[S+]1C[C@@H](O)[C@H](O)[C@H]1CO.[Cl-],640,nM
CHEMBL2051760,CO[C@H]1O[C@H](C)[C@H](N[C@H]2C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,650,nM
CHEMBL3814988,CC(C)CO[C@@H](CO)[C@H](O)C[S+]1C[C@@H](O)[C@H](O)[C@H]1CO.[Cl-],690,nM
CHEMBL4554853,O=C(NNC(=S)Nc1ccccc1Cl)c1ccc(-c2nnc(-c3ccccc3Cl)o2)cc1,700,nM
CHEMBL87169,OCC1NC(CO)[C@@H](O)C(O)C1O,700,nM
CHEMBL5175772,Cc1cc(O)c2c(c1)-c1c(-c3ccc(O)cc3)c(=O)oc3c1c-2c(O)c1cccc(O)c13,890,nM
CHEMBL3814838,CCO[C@@H](CO)[C@H](O)C[S+]1C[C@@H](O)[C@H](O)[C@H]1CO.[Cl-],960,nM
CHEMBL406973,OC[C@@H]1NC[C@H](O)[C@H]1O,1000,nM
CHEMBL4856375,C[C@]1(CO)NC[C@H](O)[C@@H](O)[C@@H]1O.Cl,1000,nM
CHEMBL4456026,O=C(N/N=C/c1ccccc1)c1cc2ccccc2oc1=O,1100,nM
CHEMBL4473968,Cc1ccccc1/C=N/NC(=O)c1cc2ccccc2oc1=O,1100,nM
CHEMBL4566850,Cc1ccc(/C=N/NC(=O)c2cc3ccccc3oc2=O)cc1,1100,nM
CHEMBL4558252,O=C(N/N=C/c1ccccc1O)c1cc2ccccc2oc1=O,1100,nM
CHEMBL4475749,COc1ccc(/C=N/NC(=O)c2cc3ccccc3oc2=O)c(O)c1,1100,nM
CHEMBL4450733,O=C(N/N=C/c1cccc(F)c1)c1cc2ccccc2oc1=O,1100,nM
CHEMBL4549420,O=C(N/N=C/c1ccccc1[N+](=O)[O-])c1cc2ccccc2oc1=O,1100,nM
CHEMBL4461307,O=C(N/N=C/c1ccccc1F)c1cc2ccccc2oc1=O,1100,nM
CHEMBL4590536,Cc1cccc(/C=N/NC(=O)c2cc3ccccc3oc2=O)c1,1100,nM
CHEMBL4447231,O=C(N/N=C/c1ccccn1)c1cc2ccccc2oc1=O,1100,nM
CHEMBL3590410,O=C(N/N=C/c1ccc([N+](=O)[O-])cc1)c1cc2ccccc2oc1=O,1100,nM
CHEMBL4545537,O=C(N/N=C/c1ccc(F)cc1)c1cc2ccccc2oc1=O,1100,nM
CHEMBL4474453,COc1ccc(O)c(/C=N/NC(=O)c2cc3ccccc3oc2=O)c1,1100,nM
CHEMBL4161936,O=C(N/N=C/c1ccc(O)cc1O)c1cc2ccccc2oc1=O,1100,nM
CHEMBL4532196,O=C(N/N=C/c1cccc(O)c1O)c1cc2ccccc2oc1=O,1100,nM
CHEMBL4176304,O=C(N/N=C/c1ccncc1)c1cc2ccccc2oc1=O,1100,nM
CHEMBL4165370,COc1ccc(/C=N/NC(=O)c2cc3ccccc3oc2=O)cc1,1100,nM
CHEMBL3814264,CCCCCCCCCCCCCO[C@@H](CO)[C@H](O)C[S+]1C[C@@H](O)[C@H](O)[C@H]1CO.[Cl-],1100,nM
CHEMBL4435180,O=C1Nc2cc(Cl)ccc2/C1=C/c1ccc(-c2nnc(-c3cc(O)cc(O)c3)o2)cc1,1200,nM
CHEMBL4786471,CCCCCCCC[C@@H](O)[C@H](OS(=O)(=O)[O-])[C@H](O)C[S@+]1C[C@@H](O)[C@H](O)[C@H]1CO,1200,nM
CHEMBL476960,OCC(CO)N[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O,1300,nM
CHEMBL110458,OC[C@H]1NC[C@H](O)[C@@H](O)[C@H]1O,1500,nM
CHEMBL3814555,CCCCCO[C@@H](CO)[C@H](O)C[S+]1C[C@@H](O)[C@H](O)[C@H]1CO.[Cl-],1500,nM
CHEMBL2051978,C[C@H]1C[C@H](N)[C@H](O)[C@@H](O)[C@H]1N[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O,1500,nM
CHEMBL4779172,CCCCCCCCCC[C@@H](O)[C@H](OS(=O)(=O)[O-])[C@H](O)C[S@+]1C[C@@H](O)[C@H](O)[C@H]1CO,1500,nM
CHEMBL5194087,Cc1cc(O)c2c(c1)-c1c(-c3c[nH]c4ccccc34)c(=O)oc3c1c-2c(O)c1cccc(O)c13,1580,nM
CHEMBL3349439,OC[C@@]1(O)C[C@H](N[C@H]2CCCC[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,1600,nM
CHEMBL260553,CC(C)=CCc1c(O)cc2oc3cc(O)c(O)c(CC=C(C)C)c3c(=O)c2c1O,1700,nM
CHEMBL4744484,CCCCCC[C@@H](O)[C@H](OS(=O)(=O)[O-])[C@H](O)C[S@+]1C[C@@H](O)[C@H](O)[C@H]1CO,1700,nM
CHEMBL5076041,COc1ccc(-c2oc3cc(OC)cc(OC)c3c(=O)c2OCCCCCCCCN2C[C@H](O)[C@@H](O)[C@H](O)[C@H]2CO)cc1,1780,nM
CHEMBL4473640,Cn1cc(-c2nnc(-c3ccc(C(c4c[nH]c5ccccc45)c4c[nH]c5ccc(Cl)cc45)cc3)o2)c2ccccc21,2000,nM
CHEMBL404271,C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)C(O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,2000,nM
CHEMBL3814747,CO[C@@H](CO)[C@H](O)C[S+]1C[C@@H](O)[C@H](O)[C@H]1CO.[Cl-],2000,nM
CHEMBL4757822,CCCCCCCC[C@@H](O)[C@H](O)[C@H](O)C[S@+]1C[C@@H](O)[C@H](O)[C@H]1CO.CS(=O)(=O)[O-],2000,nM
CHEMBL4472850,Cc1cc2nnn(CC(=O)c3ccc(Cl)c(Cl)c3)c2cc1C,2040,nM
CHEMBL4529174,COc1ccc(NC(=O)Cn2cc(COc3cc(O)c4c(=O)c5ccc(OC)cc5oc4c3)nn2)c(OC)c1,2060,nM
CHEMBL4437002,Cc1ccc(C(c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4ccccc4[N+](=O)[O-])cc23)c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4ccccc4[N+](=O)[O-])cc23)cc1,2100,nM
CHEMBL4460255,Cc1ccc(C(c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4cccc([N+](=O)[O-])c4)cc23)c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4cccc([N+](=O)[O-])c4)cc23)cc1,2100,nM
CHEMBL4439937,Cc1ccc(C(c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4ccc([N+](=O)[O-])cc4)cc23)c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4ccc([N+](=O)[O-])cc4)cc23)cc1,2100,nM
CHEMBL1029,CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,2100,nM
